month,member_classic,member_electric,member_docked,casual_classic,casual_electric,casual_docked
1,48093,37157,0,6974,10585,961
2,51307,42886,0,8107,11948,1361
3,99052,95108,0,35387,46137,8358
4,119169,125663,0,47543,66758,12116
5,197971,156472,0,126075,127931,26409
6,236664,163489,0,169996,168415,30640
7,217078,200355,0,156095,218905,31055
8,215415,211593,0,128635,203966,26323
9,200767,203875,0,105375,171496,19826
10,151992,197704,0,61568,134807,12614
11,111549,125414,0,33052,61834,5886
12,60698,76214,0,12652,30317,1925